year,result,school,program,full_or_part,scholarship,nationality,UGPA,graduate_gpa,GRE_Q,GRE_V,GRE_AWA,TOEFL,submitted,days_to_result,updated
2025,Enrolled,University of Chicago,MS in Financial Mathematics,Full-Time,"$10,000",🇸🇬,3.75,3.75,,,,,,41,5/20/25
2025,Enrolled,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,3.98,3.976,170,159,5.5,,,82,5/19/25
2025,Accepted,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,,🇨🇳,3.9,,170,164,3.5,112,,100,5/18/25
2025,Enrolled,Fordham University,MS in Quantitative Finance,Full-Time,"$15,000",🇮🇳,3.72,,,,,101,,44,5/18/25
2025,Accepted,Columbia University,MA in Mathematics of Finance,Full-Time,,🇰🇷,3.76,3.8,170,151,2.5,98,,37,5/17/25
2025,Accepted,Boston University,MS in Mathematical Finance and Financial Technology,Full-Time,"$10,000",🇮🇳,3.53,,168,156,3.5,108,,46,5/16/25
2025,Rejected,University of Chicago,Master in Finance,Full-Time,,🇮🇳,3.53,,168,156,3.5,108,,31,5/16/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.53,,168,156,3.5,108,,24,5/16/25
2025,Accepted,Illinois Institute of Technology Master in Finance,Master in Finance IIT Master in Finance program is hosted under Stuart School of Business,Full-Time,"$14,000",🇮🇳,3.53,,168,156,3.5,108,,34,5/16/25
2025,Rejected,Yale University,Master in Asset Management,Full-Time,,🇮🇳,3.53,,168,156,3.5,108,,77,5/16/25
2025,Waitlisted,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.53,,168,156,3.5,108,,,5/16/25
2025,Accepted,Fordham University,MS in Quantitative Finance,Full-Time,"$20,000",🇮🇳,3.44,,,,,105,,46,5/16/25
2025,Accepted,Rutgers University,Master of Quantitative Finance,Full-Time,"$10,000",🇮🇳,3.44,,,,,105,,13,5/16/25
2026,Accepted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇺🇸,3.85,,,,,,,45,5/16/25
2026,Enrolled,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇮🇳,3.44,,170,157,4.5,113,,39,5/16/25
2025,Enrolled,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇹,3.93,,170,163,,,,80,5/16/25
2025,Rejected,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.646,3.646,168,158,3.5,,,173,5/15/25
2025,Enrolled,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,"$30,000",🇺🇸,3.06,,170,159,5,,,78,5/15/25
2025,Enrolled,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,,🇨🇳,3.67,,170,160,3.5,106,,133,5/15/25
2025,Accepted,Columbia University,Masters in Financial Engineering,Full-Time,,🇱🇧,3.98,,,,,,,120,5/14/25
2025,Rejected,University of Oxford,MSc Mathematical and Computational Finance,Full-Time,,🇮🇪,3.3,3.3,,,,,,53,5/14/25
2025,Rejected,Imperial College London,MSc Mathematics and Finance,Full-Time,,🇮🇪,3.3,3.3,,,,,,51,5/14/25
2025,Accepted,"University of California, San Diego",Master of Quantitative Finance,Full-Time,,🇨🇳,3.67,,170,160,3.5,106,,76,5/14/25
2025,Accepted,Boston University,MS in Mathematical Finance and Financial Technology,Full-Time,,🇨🇳,3.67,,170,160,3.5,106,,63,5/14/25
2025,Accepted,University of Chicago,MS in Financial Mathematics,Full-Time,,🇸🇬,3.60,,,,,,,50,5/14/25
2025,Waitlisted,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.6,,170,150,,,,,5/13/25
2025,Waitlisted,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.47,,,,,,,,5/13/25
2025,Waitlisted,Columbia University,Masters in Financial Engineering,Full-Time,,🇨🇭,4.0,,167,159,4.0,,,,5/13/25
2025,Waitlisted,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.7,,168,151,,,,,5/13/25
2025,Accepted,Imperial College Business School,MSc Risk Management & Financial Engineering,Full-Time,,🇨🇭,3.8,,170,155,3.5,102,,61,5/13/25
2024,Enrolled,New York University,MS in Mathematics in Finance,Full-Time,,🇨🇦,3.88,,170,151,,,,40,5/12/25
2025,Rejected,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.4,,170,157,4,,,158,5/12/25
2025,Accepted,LSE,MSc Finance and Economics,Full-Time,,🇨🇭,3.8,,170,155,3.5,102,,47,5/12/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.77,3.90,,,,,,117,5/12/25
2025,Rejected,Princeton University,Master in Finance,Full-Time,,🇺🇸,4.0,,167,157,5.0,,,74,5/11/25
2025,Accepted,University of Chicago,MS in Financial Mathematics,Full-Time,,🇻🇳,3.9,,,,,,,69,5/10/25
2025,Accepted,Fordham University,MS in Quantitative Finance,Full-Time,"$30,000",🇮🇳,3.44,,170,157,4.5,113,,21,5/9/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.44,,170,157,4.5,113,,104,5/9/25
2025,Rejected,University of Chicago,MS in Financial Mathematics,Part-Time,,🇹🇭,3.53,,,,,,,52,5/9/25
2025,Rejected,Columbia University,MA in Mathematics of Finance,Full-Time,,🇮🇹,3.64,4,,,,,,128,5/9/25
2025,Accepted,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,,🇺🇸,2.85,,170,160,3.5,,,137,5/8/25
2025,Accepted,Columbia University,MA in Mathematics of Finance,Part-Time,,🇺🇸,2.85,,170,160,3.5,,,9,5/8/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇸🇬,3.75,3.75,,,,,,133,5/7/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$3,000",🇸🇬,3.75,3.75,,,,,,67,5/7/25
2025,Accepted,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,,🇺🇸,3.255,,,,,,,7,5/7/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇨🇳,3.7,3.7,167,166,,,,102,5/7/25
